id,name,popularity,duration_ms,explicit,album_id,album_name,artist_id,artist_name,danceability,energy
0Jlcvv8IykzHaSmj49uNW8,the 1,82,210251,True,2fenSS68JI1h4Fo296JfGr,folklore,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.777,0.357
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),83,285634,False,2fenSS68JI1h4Fo296JfGr,folklore,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.298,0.38
2WxUIiq06XXPYWl9YcRJnD,Our Time,81,98413,True,389zGArsMlwuPorS4Cw7IX,Virgo World,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,0.895,0.439
6Kj17Afjo1OKJYpf5VzCeo,Pain 1993 (with Playboi Carti),80,149077,True,6OQ9gBfg5EXeNAEwGSs6jK,Dark Lane Demo Tapes,3TVXtAsR1Inumwj472S9r4,Drake,0.825,0.373
1ipSpQfzBbhPFhYm6tfVIz,Mr. Glock,76,146880,True,12GZ5ewBjyylguigbdmqJ9,Yellow Tape,0RESbWvOMyua0yuyVrztJ5,Key Glock,0.804,0.946
4SFknyjLcyTLJFPKD2m96o,How You Like That,84,182956,False,71O60S5gIJSIAhdnrDIh3N,THE ALBUM,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,0.812,0.761
7AzlLxHn24DxjgQX73F9fU,No Idea,82,154424,False,7z4GhRfLqfSkqrj5F3Yt2B,Heaven Or Hell,4Gso3d4CscCijv0lmajZWs,Don Toliver,0.652,0.631
2U5WueTLIK5WJLD7mvDODv,Wishing Well,80,194621,True,6n9DKpOxwifT5hOXtgLZSL,Legends Never Die,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,0.65,0.613
7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,86,187436,False,26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,0.72,0.706
0zWbYGQq5O1KQd0iqzgjP6,Rehab (Winter In Paris),78,180303,True,3vi20DRHkqv4HyVg9Rt9wC,Fuck The World,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,0.549,0.242
